# Current schema exact catalog; PostgreSQL 17.11, task-owned PER-330 database.
# source|postgres_catalog.sql|f6b876b0e379081adf25a89165eac7a57f1e596fc369abbbc34807d6268a6c22
# source|current_schema.sql|a100aba450eda3c76965a468e0f97626a71b6f87f94b9c13fc2ad1190539d96c
# source|current_archive.sql|b93ab30195b52e39f82a17b862deba516e097f0723c9d5d5d4c83f0d31c5448b
# source|current_views.sql|f380a36d7fb83122fba0937857596fe92714038f6a0c3fdf6b058e285b52cd9d
# configuration|current_schema_reader_observer
# format|kind|schema|name|sha256
relation|babylon_state|world_register_v1|1e688170e3976fcf7e2f30f121d0fde55c33e48be7fca5be60f5401f1ecb27b4
routine|babylon_meta|archive_wakeup_v1|95b3794c42f06d660ad67b8081a0b4ef10513f1473bd74c352142ae810a1e24c
routine|babylon_state|require_material_tick_v3|0db0ccc2f14d8346ead7b4fe15cc6d69723b627fbbb03e250ff497556bb4e683
routine|babylon_state|verify_tick_choice_receipt_v1_continuity|49e8702cfc33570778cf006932792de98eedbe85d206845c18b4fe081c2af2ce
routine|babylon_state|verify_tick_event_v2_continuity|c2668117380b441831aaf46f7d995d8f479b1de1b7019fb1e71be3f6710b4cc2
schema|pg_namespace|babylon_ref|7c2fe2c6f3e9487d43b1e67e182c399cadd5d70087dd445f274de00d502ff45b
schema|pg_namespace|babylon_state|1dce3b1b7211642bbc8265afb67cdfa1a6781d55d3a2e4b8e616ef8ac1686e7e
schema_grant|pg_namespace|babylon_meta|5c0ed6508e7b1598182c8b7440dade9cc39061bb35c672d949b0f3713cf772cc
schema_grant|pg_namespace|public|c5cd4f26587430e95806f14674bec3572f90e3fcd782658f27a2be0b03b0c317
view|public|v_archive_revision_atom_v2|229a2544b7cecd878c07e6f2949eca1ae655c81f660fb7d7e67b716480825605
view|public|v_archive_revision_grant_v2|b743e296bb33d65dada9af253b0246340a96c5d957f6c3438c58aeddeef1de22
view|public|v_archive_revision_index_v2|e4dfdbd7015d1dc1a3b227b9cba3893a87f3787869f271979f727c2c20777854
view|public|v_archive_revision_known_v2|1e2e1b1f1affaff7f874c8a1135906d315fdf6c2718d3da060e84302aacb4ff0
view|public|v_archive_revision_scope_v2|ce97f73edd4f592b8a2f47c6e74cb67bb8ecca7158201b717f0896ab202df44e
view|public|v_archive_subject_grant_v2|48f44588223715a77c32d86dfda362558f6c12775c68d2a1c985a56f3068033e
view|public|v_archive_tick_knowledge_v2|242b60ba1e2d45706414d68efda20d82b92ac88c90d2078dc65a7387f6aa975f
view|public|v_archive_verification_v1|2b23640c6aa72df66b8cc5d0e1adba006563db5f313932353662f0ccbd15271e
view|public|v_committed_tick_status_v1|7ba17ab04f2506a119fc8669335d8a129176dbb749c0be9d69ed8c78ff50c221
view|public|v_known_county_economy_v1|2e50c3b518b11cf007b1ace91fc2d9d9036820107a4f9a83a7d889ae09b28285
view|public|v_material_campaign_identity_v1|d0a6ebea3bd9ba9939de2d7f766d76f75799ed89729c164249fc53c6dff37658
view|public|v_observer_archive_dirty_receipt_v1|7a09765e0cd73bc325f8011a550b5210b3b5ac928a806ab6f35dc8b254940939
view|public|v_observer_checkpoint_manifest|7c4037df57832a80eea8cfe93393df210f7ea7640a7bb5d880adec273545bb85
view|public|v_observer_checkpoint_section_v1|d4fc9debe0a2b616d1f07cd2cb2ab2fa208cd4dafb841c7b48dc19082a50cc78
view|public|v_observer_county_economy_v1|6d47b1f601ace70c918bde958ebd6ce43dea9899a93a3f7de5aa8ee4085a5cfa
view|public|v_observer_economy_foundation_v1|a4c1cbdcabc63130060620cd35cd80c358f1532e7f8c3d435413091d57ce4c34
view|public|v_observer_graph_edge_f64_v1|ea9b3155c2407a6d80645230e2d5764d007c3c63541c9ee200166fe4d28f346e
view|public|v_observer_graph_edge_v1|232ee69025d9565b1baedc7d139db333ddb8f53bd7d0f0a58cae0e5aa5483621
view|public|v_observer_graph_hyperedge_f64_v1|728fa7db257fb7242fe86a8ba10e926ce4c38a9055dffeca4ee9b5c522c02512
view|public|v_observer_graph_hyperedge_member_v1|b0bb1d0689c8b0d9ba81813e61dc752db56679d45f92c8d2643e7c74b2ec2c7e
view|public|v_observer_graph_hyperedge_v1|88ac1213237915a240766d6b9950ec0078b6a714aa2093600f5e227f7c01c588
view|public|v_observer_graph_node_currency_v1|5c71f14484a47f8ae4139834bb0f356a0ad91b45faafdaefa8bfc84d92138f95
view|public|v_observer_graph_node_f64_v1|6ba084cd0201dfb11cfbf2bffc08cf9d50c94427a3082c8b60f2bdf9d2b50e38
view|public|v_observer_graph_node_v1|0d513fc020b4d180342fe69fd770b890818663eb49f4d5be543f97f95f3e4580
view|public|v_observer_hex_state_delta_v1|affd453930210565b0ae4147e20b39e7b04d6bef45af19cbdbe25615bc19f8aa
view|public|v_observer_material_state_v1|553470e1a86cddacad62314a7cd20cc3667204b5353515720d9fe3fbd74ba7fe
view|public|v_observer_organization_state_field_v1|d9ec31d81b5ec03afbbd340aebb8beaf9b57497e3a32c3f946752e74c23a742f
view|public|v_observer_organization_state_v1|527964f743a47ab92dfe1f94fccfe5e84a269c6cfe37abdaf4eec631cb027aeb
